Operation,Module_A,Module_B,Header,From
Primary,accumulators,array,boost/array.hpp,boost/accumulators/statistics/p_square_quantile.hpp boost/accumulators/statistics/weighted_p_square_quantile.hpp
Primary,accumulators,assert,boost/assert.hpp,boost/accumulators/framework/accumulators/droppable_accumulator.hpp boost/accumulators/numeric/functional/valarray.hpp boost/accumulators/numeric/functional/vector.hpp boost/accumulators/statistics/rolling_window.hpp boost/accumulators/statistics/tail.hpp
Primary,accumulators,circular_buffer,boost/circular_buffer.hpp,boost/accumulators/statistics/rolling_window.hpp
Primary,accumulators,concept_check,boost/concept_check.hpp,boost/accumulators/framework/accumulator_concept.hpp boost/accumulators/numeric/detail/function1.hpp
Primary,accumulators,config,boost/config.hpp,boost/accumulators/accumulators_fwd.hpp
Primary,accumulators,config,boost/config/no_tr1/cmath.hpp,boost/accumulators/statistics/moment.hpp boost/accumulators/statistics/peaks_over_threshold.hpp boost/accumulators/statistics/rolling_moment.hpp boost/accumulators/statistics/tail_quantile.hpp boost/accumulators/statistics/weighted_moment.hpp
Primary,accumulators,config,boost/detail/workaround.hpp,boost/accumulators/statistics/times2_iterator.hpp
Primary,accumulators,config,boost/version.hpp,boost/accumulators/framework/accumulator_set.hpp boost/accumulators/framework/depends_on.hpp boost/accumulators/statistics/rolling_window.hpp
Primary,accumulators,core,boost/core/enable_if.hpp,boost/accumulators/accumulators_fwd.hpp boost/accumulators/framework/accumulator_set.hpp
Primary,accumulators,core,boost/ref.hpp,boost/accumulators/framework/accumulators/reference_accumulator.hpp
Primary,accumulators,core,boost/utility/enable_if.hpp,boost/accumulators/numeric/functional.hpp boost/accumulators/numeric/functional/complex.hpp boost/accumulators/numeric/functional/valarray.hpp boost/accumulators/numeric/functional/vector.hpp boost/accumulators/numeric/functional_fwd.hpp boost/accumulators/statistics/rolling_variance.hpp
Primary,accumulators,fusion,boost/fusion/include/any.hpp,boost/accumulators/framework/accumulator_set.hpp
Primary,accumulators,fusion,boost/fusion/include/begin.hpp,boost/accumulators/framework/depends_on.hpp
Primary,accumulators,fusion,boost/fusion/include/cons.hpp,boost/accumulators/framework/depends_on.hpp
Primary,accumulators,fusion,boost/fusion/include/end.hpp,boost/accumulators/framework/depends_on.hpp
